OTU1	P4	100.000	301	0	0	1	301	332	632	1.00e-160	556
OTU2	MTB201_MTB222	100.000	312	0	0	1	312	330	641	7.71e-167	577
OTU3	MTB253_MTB257	100.000	300	0	0	1	300	341	640	3.61e-160	555
OTU4	MTB234	100.000	303	0	0	1	303	335	637	7.76e-162	560
OTU5	MTB183	100.000	295	0	0	1	295	323	617	2.17e-157	545
OTU6	MTB216	100.000	313	0	0	1	313	326	638	2.14e-167	579
OTU7	MTB220	100.000	302	0	0	1	302	328	629	2.79e-161	558
OTU8	MTB170_MTB172	100.000	310	0	0	1	310	335	644	9.97e-166	573
OTU9	P2	100.000	295	0	0	1	295	323	617	2.17e-157	545
OTU10	MTB288	100.000	303	0	0	1	303	337	639	7.76e-162	560
OTU11	MTB210	100.000	311	0	0	1	311	332	642	2.77e-166	575
OTU12	MTB297	100.000	306	0	0	1	306	324	629	1.67e-163	566
OTU13	MTB187_MTB192_MTB209_MTB217	100.000	313	0	0	1	313	332	644	2.14e-167	579
OTU14	MTB131_MTB162	100.000	296	0	0	1	296	329	624	6.04e-158	547
OTU15	MTB182_MTB440	100.000	313	0	0	1	313	335	647	2.14e-167	579
OTU16	MTB340	100.000	293	0	0	1	293	337	629	2.81e-156	542
OTU17	MTB206	100.000	313	0	0	1	313	330	642	2.14e-167	579
OTU18	MTB339	100.000	296	0	0	1	296	324	619	6.04e-158	547
OTU19	MTB214	100.000	313	0	0	1	313	335	647	2.14e-167	579
OTU20	MTB390	100.000	296	0	0	1	296	332	627	6.04e-158	547
OTU21	MTB371	100.000	294	0	0	1	294	306	599	7.82e-157	544
OTU22	MTB230	100.000	296	0	0	1	296	337	632	6.04e-158	547
OTU23	MTB341	100.000	309	0	0	1	309	331	639	3.59e-165	571
OTU24	MTB335	100.000	299	0	0	1	299	336	634	1.30e-159	553
OTU25	MTB138_MTB142	100.000	304	0	0	1	304	336	639	2.16e-162	562
OTU26	MTB272	100.000	294	0	0	1	294	337	630	7.82e-157	544
OTU27	P1	100.000	305	0	0	1	305	305	1	6.00e-163	564
OTU28	MTB417	100.000	313	0	0	1	313	327	639	2.14e-167	579
OTU29	MTB368	100.000	302	0	0	1	302	324	625	2.79e-161	558
OTU30	MTB451	100.000	293	0	0	1	293	324	616	2.81e-156	542
OTU31	MTB211	100.000	313	0	0	1	313	326	638	2.14e-167	579
OTU32	MTB290_MTB270_MTB275	100.000	294	0	0	1	294	338	631	7.82e-157	544
OTU33	MTB226	100.000	313	0	0	1	313	320	632	2.14e-167	579
